2923,2021-10-12T09:43:42+0000;0444,T7a91,H426e;0445,T78bf,H43b4;0544,T7871,H3e96;0545,T7714,H479c;0644,T788c,H4678;0645,T78a4,H459c;0744,T7839,H3cab;0745,T78be,H4719
2924,2021-10-12T09:43:58+0000;0444,T7a94,H4261;0445,T78c5,H43a4;0544,T7873,H3e89;0545,T771a,H4789;0644,T7892,H466f;0645,T78a8,H4596;0744,T7843,H3c91;0745,T78c3,H470d
2925,2021-10-12T09:44:14+0000;0444,T7a92,H426c;0445,T78c6,H43a1;0544,T787d,H3e76;0545,T772a,H4774;0644,T7896,H4664;0645,T78ad,H4584;0744,T784a,H3c86;0745,T78c1,H470e
2926,2021-10-12T09:44:30+0000;0444,T7a95,H4269;0445,T78ce,H439d;0544,T7881,H3e71;0545,T7736,H4748;0644,T7898,H465b;0645,T78b1,H4587;0744,T784c,H3c7c;0745,T78c7,H470a
2927,2021-10-12T09:44:45+0000;0444,T7a93,H4269;0445,T78ca,H4399;0544,T7885,H3e62;0545,T7740,H472e;0644,T789a,H465a;0645,T78b1,H457b;0744,T7850,H3c78;0745,T78cb,H4707
2928,2021-10-12T09:45:01+0000;0444,T7a90,H426e;0445,T78cb,H4396;0544,T7887,H3e5f;0545,T773e,H4739;0644,T789d,H4655;0645,T78b4,H4580;0744,T7853,H3c62;0745,T78c8,H4704
2929,2021-10-12T09:45:17+0000;0444,T7a91,H4272;0445,T78c8,H4398;0544,T7887,H3e66;0545,T7743,H4725;0644,T789b,H4658;0645,T78b1,H4581;0744,T7856,H3c6a;0745,T78c5,H4709
2930,2021-10-12T09:45:33+0000;0444,T7a88,H4277;0445,T78c8,H439c;0544,T7887,H3e60;0545,T7747,H4723;0644,T789c,H465b;0645,T78b3,H4581;0744,T7859,H3c62;0745,T78ca,H470e
2931,2021-10-12T09:45:48+0000;0444,T7a84,H427a;0445,T78c4,H4398;0544,T7889,H3e57;0545,T7750,H4705;0644,T789a,H465a;0645,T78b2,H4581;0744,T785a,H3c5c;0745,T78c7,H470c
2932,2021-10-12T09:46:04+0000;0444,T7a7c,H4287;0445,T78c1,H4398;0544,T7889,H3e46;0545,T7757,H46ee;0644,T789b,H4649;0645,T78b5,H456e;0744,T785c,H3c47;0745,T78c7,H46f4
2933,2021-10-12T09:46:20+0000;0444,T7a78,H427a;0445,T78bf,H439f;0544,T7887,H3e3b;0545,T774e,H46f5;0644,T7899,H4642;0645,T78ad,H456c;0744,T785a,H3c40;0745,T78c4,H46f2
2934,2021-10-12T09:46:36+0000;0444,T7a73,H4280;0445,T78bd,H4384;0544,T7886,H3e32;0545,T7754,H46d5;0644,T7898,H463d;0645,T78af,H4562;0744,T7856,H3c38;0745,T78c0,H46ef
2935,2021-10-12T09:46:51+0000;0444,T7a6d,H4283;0445,T78b7,H4389;0544,T7883,H3e30;0545,T7754,H46c9;0644,T7894,H4633;0645,T78a7,H4566;0744,T7852,H3c2f;0745,T78b9,H46ee
2936,2021-10-12T09:47:07+0000;0444,T7a62,H4281;0445,T78ad,H438d;0544,T787c,H3e22;0545,T7754,H46bc;0644,T7893,H4629;0645,T78a5,H4552;0744,T7850,H3c2d;0745,T78b4,H46e4
2937,2021-10-12T09:47:23+0000;0444,T7a5a,H4292;0445,T78a8,H4395;0544,T787a,H3e2f;0545,T7752,H46c6;0644,T7891,H462a;0645,T78a1,H455e;0744,T784f,H3c2c;0745,T78b3,H46eb
2938,2021-10-12T09:47:39+0000;0444,T7a50,H429f;0445,T78a1,H43a7;0544,T7874,H3e3e;0545,T774e,H46cd;0644,T788b,H463c;0645,T789c,H4561;0744,T7848,H3c3d;0745,T78ad,H4705
2939,2021-10-12T09:47:54+0000;0444,T7a4c,H42bf;0445,T789f,H43b9;0544,T7871,H3e56;0545,T7757,H46ce;0644,T7883,H4654;0645,T7895,H4581;0744,T7840,H3c54;0745,T78a3,H4717
2940,2021-10-12T09:48:10+0000;0444,T7a3e,H42d7;0445,T7898,H43ca;0544,T786e,H3e61;0545,T7758,H46d4;0644,T7878,H4670;0645,T788e,H45a1;0744,T783a,H3c64;0745,T789d,H4729
2941,2021-10-12T09:48:26+0000;0444,T7a35,H42eb;0445,T7890,H43e2;0544,T7868,H3e78;0545,T775b,H46d1;0644,T7873,H467d;0645,T7888,H45b4;0744,T7835,H3c7f;0745,T7898,H4745
2942,2021-10-12T09:48:42+0000;0444,T7a2d,H42fe;0445,T788a,H43f7;0544,T785f,H3e80;0545,T7753,H46e1;0644,T7870,H4690;0645,T7883,H45c2;0744,T7832,H3c8e;0745,T788c,H4752
2943,2021-10-12T09:48:57+0000;0444,T7a24,H430d;0445,T7880,H4406;0544,T785a,H3e8f;0545,T774d,H46ee;0644,T786b,H4696;0645,T787c,H45d0;0744,T782b,H3c9e;0745,T7885,H4761
2944,2021-10-12T09:49:13+0000;0444,T7a13,H4326;0445,T7872,H441d;0544,T7853,H3e9a;0545,T7745,H46f8;0644,T7863,H46a1;0645,T7871,H45db;0744,T7822,H3ca8;0745,T7879,H4776
2945,2021-10-12T09:49:29+0000;0444,T7a06,H4334;0445,T786e,H441b;0544,T784e,H3e9d;0545,T773f,H46f7;0644,T7858,H46ad;0645,T786b,H45e6;0744,T781b,H3ca8;0745,T7872,H4781
2946,2021-10-12T09:49:45+0000;0444,T79f7,H4341;0445,T7866,H4421;0544,T7840,H3e9f;0545,T773a,H46fc;0644,T7850,H46ba;0645,T785e,H45ec;0744,T7813,H3cb0;0745,T7868,H4783
2947,2021-10-12T09:50:01+0000;0444,T79ed,H433f;0445,T785a,H4423;0544,T7836,H3ea5;0545,T7732,H46fe;0644,T7846,H46b9;0645,T7855,H45f4;0744,T780b,H3cab;0745,T785c,H478f
2948,2021-10-12T09:50:16+0000;0444,T79db,H4353;0445,T7853,H4428;0544,T782f,H3eae;0545,T772d,H46f5;0644,T783e,H46bd;0645,T784d,H45ef;0744,T77ff,H3cb4;0745,T7853,H4790
2949,2021-10-12T09:50:32+0000;0444,T79d4,H4358;0445,T7847,H442e;0544,T7827,H3eb3;0545,T7729,H46f7;0644,T7832,H46c7;0645,T7842,H4602;0744,T77f5,H3cc3;0745,T784c,H4798
2950,2021-10-12T09:50:48+0000;0444,T79c4,H4365;0445,T783a,H443d;0544,T781b,H3eb8;0545,T771f,H46f5;0644,T7825,H46c8;0645,T7838,H4602;0744,T77ea,H3cc3;0745,T783e,H479d
2951,2021-10-12T09:51:04+0000;0444,T79bc,H4377;0445,T782e,H4448;0544,T780f,H3ec7;0545,T771c,H46f6;0644,T7819,H46d7;0645,T782e,H4607;0744,T77df,H3ccf;0745,T7831,H47b1
2952,2021-10-12T09:51:19+0000;0444,T79ab,H4389;0445,T7827,H4453;0544,T7808,H3ed1;0545,T7712,H4708;0644,T7811,H46e2;0645,T7823,H4620;0744,T77d6,H3ce3;0745,T7825,H47c0
2953,2021-10-12T09:51:35+0000;0444,T799c,H439d;0445,T781b,H4469;0544,T77fc,H3ed5;0545,T770a,H4713;0644,T7804,H46f8;0645,T7817,H462b;0744,T77ca,H3cee;0745,T781a,H47c4
2954,2021-10-12T09:51:51+0000;0444,T798e,H43c0;0445,T7809,H447b;0544,T77f3,H3ef1;0545,T7704,H4716;0644,T77f7,H4716;0645,T780a,H4649;0744,T77c1,H3d0c;0745,T780d,H47e7
2955,2021-10-12T09:52:07+0000;0444,T7983,H43db;0445,T7800,H44a6;0544,T77e8,H3f0e;0545,T76fd,H472e;0644,T77ed,H4735;0645,T77fe,H466e;0744,T77b6,H3d1f;0745,T7801,H4808
2956,2021-10-12T09:52:22+0000;0444,T7971,H4408;0445,T77f4,H44c4;0544,T77da,H3f28;0545,T76f0,H476c;0644,T77e1,H474c;0645,T77f3,H4683;0744,T77ab,H3d46;0745,T77f5,H4825
